model,audio_file,elapsed_sec,success,cpu_mean,cpu_max,memory_mean_gb,memory_max_gb,memory_percent_mean,memory_percent_max,gpu_util_mean,gpu_util_max,gpu_mem_mean_mb,gpu_mem_max_mb
omniASR_LLM_1B,data/wav/es/es0288.mp3,1.0187578201293943,False,24.3,24.3,17.142227172851562,17.142227172851562,27.3,27.3,0.0,0.0,24.0,24.0
small,data/wav/es/es0537.mp3,0.1032156944274902,False,10.4,10.4,17.075992584228516,17.075992584228516,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/es/es0537.mp3,1.0609138011932373,False,21.3,21.3,17.140918731689453,17.140918731689453,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/es/es0537.mp3,1.0308082103729248,False,17.2,17.2,17.145099639892578,17.145099639892578,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/es/es0537.mp3,1.0496270656585691,False,29.5,29.5,17.149810791015625,17.149810791015625,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/es/es0092.mp3,0.1034877300262451,False,20.3,20.3,17.08956527709961,17.08956527709961,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/es/es0092.mp3,1.0316574573516846,False,31.5,31.5,17.15658950805664,17.15658950805664,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/es/es0092.mp3,1.0148355960845947,False,27.6,27.6,17.161693572998047,17.161693572998047,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/es/es0092.mp3,1.013702154159546,False,29.3,29.3,17.156539916992188,17.156539916992188,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/es/es0857.mp3,0.1126272678375244,False,9.4,9.4,17.084060668945312,17.084060668945312,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/es/es0857.mp3,1.0024123191833496,False,25.0,25.0,17.140621185302734,17.140621185302734,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/es/es0857.mp3,1.0142803192138672,False,28.0,28.0,17.148223876953125,17.148223876953125,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/es/es0857.mp3,1.1049954891204834,False,30.3,30.3,17.151241302490234,17.151241302490234,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/es/es0051.mp3,0.1071312427520752,False,12.5,12.5,17.084095001220703,17.084095001220703,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/es/es0051.mp3,1.0744497776031494,False,22.4,22.4,17.148025512695312,17.148025512695312,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/es/es0051.mp3,1.0506248474121094,False,31.6,31.6,17.159183502197266,17.159183502197266,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/es/es0051.mp3,1.0391104221343994,False,27.7,27.7,17.155715942382812,17.155715942382812,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/es/es0392.mp3,0.1015193462371826,False,12.3,12.3,17.077041625976562,17.077041625976562,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/es/es0392.mp3,1.045269012451172,False,24.2,24.2,17.159080505371094,17.159080505371094,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/es/es0392.mp3,1.0235283374786377,False,27.8,27.8,17.153682708740234,17.153682708740234,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/es/es0392.mp3,1.0417938232421875,False,22.2,22.2,17.151355743408203,17.151355743408203,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/fr/fr0440.mp3,0.1091723442077636,False,9.2,9.2,17.087108612060547,17.087108612060547,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/fr/fr0440.mp3,1.0582854747772217,False,21.4,21.4,17.15256118774414,17.15256118774414,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/fr/fr0440.mp3,1.0757083892822266,False,26.1,26.1,17.152889251708984,17.152889251708984,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/fr/fr0440.mp3,1.0443270206451416,False,28.4,28.4,17.154586791992188,17.154586791992188,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/fr/fr0227.mp3,0.1098065376281738,False,12.3,12.3,17.087322235107422,17.087322235107422,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/fr/fr0227.mp3,1.0198819637298584,False,34.0,34.0,17.159442901611328,17.159442901611328,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/fr/fr0227.mp3,1.064547061920166,False,31.4,31.4,17.160747528076172,17.160747528076172,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/fr/fr0227.mp3,1.0447053909301758,False,34.0,34.0,17.17241668701172,17.17241668701172,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/fr/fr0062.mp3,0.1189424991607666,False,13.2,13.2,17.093791961669922,17.093791961669922,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/fr/fr0062.mp3,1.0292890071868896,False,31.8,31.8,17.160396575927734,17.160396575927734,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/fr/fr0062.mp3,1.027087688446045,False,30.5,30.5,17.158706665039062,17.158706665039062,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/fr/fr0062.mp3,0.9928405284881592,False,23.2,23.2,17.165077209472656,17.165077209472656,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/fr/fr0269.mp3,0.1044614315032959,False,10.1,10.1,17.102283477783203,17.102283477783203,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/fr/fr0269.mp3,1.0163426399230957,False,25.5,25.5,17.164474487304688,17.164474487304688,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/fr/fr0269.mp3,1.0308661460876465,False,28.0,28.0,17.155712127685547,17.155712127685547,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/fr/fr0269.mp3,1.002572774887085,False,27.2,27.2,17.156051635742188,17.156051635742188,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/fr/fr0325.mp3,0.1129341125488281,False,10.1,10.1,17.089588165283203,17.089588165283203,27.3,27.3,0.0,0.0,24.0,24.0
